,,,,,Games,,Rushing,,,,,,,Receiving,,,,,,,,,,,
Rk,Name,Tm,Age,Pos,G,GS,*Att,*Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,*Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,YScm,RRTD,Fmb
1,Le'Veon Bell,PIT,25,RB,11,11,252,981,5,27,3.9,89.2,22.9,76,61,396,6.5,0,42,5.5,36,80.30%,1377,5,3
2,Todd Gurley,LAR,23,RB,11,11,204,865,8,36,4.2,78.6,18.5,59,42,479,11.4,3,53,3.8,43.5,71.20%,1344,11,5
3,Jordan Howard,CHI,23,RB,11,11,199,847,5,53,4.3,77,18.1,23,16,91,5.7,0,12,1.5,8.3,69.60%,938,5,1
4,LeSean McCoy,BUF,29,RB,11,11,192,758,4,48,3.9,68.9,17.5,57,46,295,6.4,1,24,4.2,26.8,80.70%,1053,5,3
5,Ezekiel Elliott,DAL,22,RB,8,8,191,783,7,30,4.1,97.9,23.9,26,19,210,11.1,2,72,2.4,26.3,73.10%,993,9,1
6,Melvin Gordon,LAC,24,RB,11,11,188,698,5,87,3.7,63.5,17.1,58,38,273,7.2,4,22,3.5,24.8,65.50%,971,9,0
7,Leonard Fournette,JAX,22,RB,9,9,187,765,6,90,4.1,85,20.8,30,22,173,7.9,1,28,2.4,19.2,73.30%,938,7,1
8,Kareem Hunt,KAN,22,RB,11,11,184,890,4,69,4.8,80.9,16.7,42,36,344,9.6,2,78,3.3,31.3,85.70%,1234,6,1
9,Lamar Miller,HOU,26,RB,11,10,179,655,3,21,3.7,59.5,16.3,34,27,271,10,3,32,2.5,24.6,79.40%,926,6,1
10,Mark Ingram,NOR,28,RB,11,9,166,837,8,51,5,76.1,15.1,46,36,218,6.1,0,25,3.3,19.8,78.30%,1055,8,3
11,Frank Gore,IND,34,RB,11,11,161,571,3,21,3.5,51.9,14.6,28,20,169,8.5,0,26,1.8,15.4,71.40%,740,3,2
12,Jay Ajayi,2TM,24,,10,7,158,659,1,71,4.2,65.9,15.8,23,16,84,5.3,0,15,1.6,8.4,69.60%,743,1,2
13,Carlos Hyde,SFO,27,RB,11,11,157,639,4,61,4.1,58.1,14.3,73,49,295,6,0,18,4.5,26.8,67.10%,934,4,1
14,Adrian Peterson,2TM,32,,10,7,156,529,2,27,3.4,52.9,15.6,19,11,70,6.4,0,13,1.1,7,57.90%,599,2,3
15,Jonathan Stewart,CAR,30,RB,11,8,153,486,2,18,3.2,44.2,13.9,11,6,44,7.3,1,21,0.5,4,54.50%,530,3,3
16,Ameer Abdullah,DET,24,RB,11,11,150,505,3,34,3.4,45.9,13.6,27,20,133,6.7,1,22,1.8,12.1,74.10%,638,4,2
17,Joe Mixon,CIN,21,rb,11,4,150,484,4,25,3.2,44,13.6,29,26,258,9.9,0,67,2.4,23.5,89.70%,742,4,2
18,Isaiah Crowell,CLE,24,RB,11,11,145,554,2,27,3.8,50.4,13.2,29,19,177,9.3,0,38,1.7,16.1,65.50%,731,2,1
19,C.J. Anderson,DEN,26,RB,11,11,144,585,2,40,4.1,53.2,13.1,20,15,111,7.4,1,17,1.4,10.1,75.00%,696,3,1
20,LeGarrette Blount,PHI,31,RB,11,7,137,658,2,68,4.8,59.8,12.5,4,4,25,6.3,1,20,0.4,2.3,100.00%,683,3,1
21,Latavius Murray,MIN,27,RB,11,7,130,496,5,46,3.8,45.1,11.8,9,7,39,5.6,0,9,0.6,3.5,77.80%,535,5,1
22,Alex Collins,BAL,23,RB,10,7,129,630,2,50,4.9,63,12.9,14,9,52,5.8,0,27,0.9,5.2,64.30%,682,2,2
23,DeMarco Murray,TEN,29,RB,11,11,129,452,5,75,3.5,41.1,11.7,37,31,225,7.3,1,18,2.8,20.5,83.80%,677,6,1
24,Marshawn Lynch,OAK,31,RB,10,10,123,457,5,25,3.7,45.7,12.3,16,10,98,9.8,0,26,1,9.8,62.50%,555,5,0
