Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Julio Jones,8600,MIN@ATL 12/03/2017 01:00PM ET,18.036,ATL
RB,Alvin Kamara,8400,CAR@NO 12/03/2017 04:25PM ET,20.491,NO
WR,Keenan Allen,8300,CLE@LAC 12/03/2017 04:05PM ET,17.873,LAC
RB,Todd Gurley II,8200,LAR@ARI 12/03/2017 04:25PM ET,22.945,LAR
RB,Mark Ingram,7900,CAR@NO 12/03/2017 04:25PM ET,18.045,NO
QB,Tom Brady,7800,NE@BUF 12/03/2017 01:00PM ET,23.211,NE
RB,Leonard Fournette,7800,IND@JAX 12/03/2017 01:00PM ET,18.867,JAX
WR,Brandin Cooks,7700,NE@BUF 12/03/2017 01:00PM ET,16.182,NE
RB,LeSean McCoy,7600,NE@BUF 12/03/2017 01:00PM ET,17.209,BUF
WR,Adam Thielen,7500,MIN@ATL 12/03/2017 01:00PM ET,17.882,MIN
RB,Melvin Gordon,7400,CLE@LAC 12/03/2017 04:05PM ET,17.736,LAC
TE,Rob Gronkowski,7300,NE@BUF 12/03/2017 01:00PM ET,16.11,NE
WR,DeAndre Hopkins,7300,HOU@TEN 12/03/2017 01:00PM ET,21.4,HOU
RB,Christian McCaffrey,7200,CAR@NO 12/03/2017 04:25PM ET,14.964,CAR
WR,Mike Evans,7100,TB@GB 12/03/2017 01:00PM ET,14.52,TB
RB,Tevin Coleman,7000,MIN@ATL 12/03/2017 01:00PM ET,12.355,ATL
TE,Travis Kelce,7000,KC@NYJ 12/03/2017 01:00PM ET,16.491,KC
QB,Philip Rivers,7000,CLE@LAC 12/03/2017 04:05PM ET,18.038,LAC
WR,Sterling Shepard,7000,NYG@OAK 12/03/2017 04:25PM ET,14.114,NYG
WR,Michael Thomas,6900,CAR@NO 12/03/2017 04:25PM ET,15.045,NO
RB,Kareem Hunt,6900,KC@NYJ 12/03/2017 01:00PM ET,18.764,KC
QB,Cam Newton,6800,CAR@NO 12/03/2017 04:25PM ET,20.4,CAR
WR,Devin Funchess,6800,CAR@NO 12/03/2017 04:25PM ET,13.391,CAR
WR,Tyreek Hill,6700,KC@NYJ 12/03/2017 01:00PM ET,15.236,KC
QB,Jared Goff,6700,LAR@ARI 12/03/2017 04:25PM ET,18.915,LAR
WR,Michael Crabtree,6600,NYG@OAK 12/03/2017 04:25PM ET,13.02,OAK
RB,Jordan Howard,6500,SF@CHI 12/03/2017 01:00PM ET,13.691,CHI
WR,Davante Adams,6500,TB@GB 12/03/2017 01:00PM ET,15.473,GB
QB,Drew Brees,6500,CAR@NO 12/03/2017 04:25PM ET,18.433,NO
QB,Matt Ryan,6400,MIN@ATL 12/03/2017 01:00PM ET,16.96,ATL
WR,Cooper Kupp,6400,LAR@ARI 12/03/2017 04:25PM ET,11.427,LAR
WR,Robby Anderson,6300,KC@NYJ 12/03/2017 01:00PM ET,14.591,NYJ
RB,David Johnson,6300,LAR@ARI 12/03/2017 04:25PM ET,14.1,ARI
WR,Stefon Diggs,6200,MIN@ATL 12/03/2017 01:00PM ET,14.822,MIN
QB,Marcus Mariota,6200,HOU@TEN 12/03/2017 01:00PM ET,16.392,TEN
WR,Golden Tate,6100,DET@BAL 12/03/2017 01:00PM ET,14.364,DET
QB,Derek Carr,6100,NYG@OAK 12/03/2017 04:25PM ET,16.536,OAK
QB,Case Keenum,6000,MIN@ATL 12/03/2017 01:00PM ET,17.234,MIN
WR,Marvin Jones Jr.,6000,DET@BAL 12/03/2017 01:00PM ET,15.827,DET
RB,Lamar Miller,6000,HOU@TEN 12/03/2017 01:00PM ET,14.145,HOU
WR,Larry Fitzgerald,6000,LAR@ARI 12/03/2017 04:25PM ET,16.727,ARI
RB,Carlos Hyde,5900,SF@CHI 12/03/2017 01:00PM ET,15.4,SF
WR,Jarvis Landry,5900,DEN@MIA 12/03/2017 01:00PM ET,15.727,MIA
QB,Alex Smith,5900,KC@NYJ 12/03/2017 01:00PM ET,20.402,KC
WR,Robert Woods,5900,LAR@ARI 12/03/2017 04:25PM ET,14.75,LAR
QB,Matthew Stafford,5800,DET@BAL 12/03/2017 01:00PM ET,19.291,DET
WR,Amari Cooper,5800,NYG@OAK 12/03/2017 04:25PM ET,11.391,OAK
RB,Devonta Freeman,5700,MIN@ATL 12/03/2017 01:00PM ET,13.022,ATL
WR,Rishard Matthews,5700,HOU@TEN 12/03/2017 01:00PM ET,12.43,TEN
TE,Evan Engram,5700,NYG@OAK 12/03/2017 04:25PM ET,11,NYG
WR,Mohamed Sanu,5600,MIN@ATL 12/03/2017 01:00PM ET,12.094,ATL
QB,Jameis Winston,5600,TB@GB 12/03/2017 01:00PM ET,15.738,TB
RB,DeMarco Murray,5600,HOU@TEN 12/03/2017 01:00PM ET,12.427,TEN
TE,Delanie Walker,5600,HOU@TEN 12/03/2017 01:00PM ET,11.373,TEN
RB,Dion Lewis,5500,NE@BUF 12/03/2017 01:00PM ET,9.682,NE
WR,Chris Hogan,5500,NE@BUF 12/03/2017 01:00PM ET,13.563,NE
QB,Aaron Rodgers,5500,TB@GB 12/03/2017 01:00PM ET,20.117,GB
QB,Josh McCown,5500,KC@NYJ 12/03/2017 01:00PM ET,17.524,NYJ
QB,Tyrod Taylor,5400,NE@BUF 12/03/2017 01:00PM ET,15.655,BUF
QB,Blake Bortles,5400,IND@JAX 12/03/2017 01:00PM ET,15.405,JAX
TE,Jared Cook,5400,NYG@OAK 12/03/2017 04:25PM ET,9.691,OAK
RB,Ty Montgomery,5300,TB@GB 12/03/2017 01:00PM ET,11.45,GB
QB,Ryan Fitzpatrick,5300,TB@GB 12/03/2017 01:00PM ET,12.787,TB
WR,Demaryius Thomas,5300,DEN@MIA 12/03/2017 01:00PM ET,13.009,DEN
RB,Latavius Murray,5200,MIN@ATL 12/03/2017 01:00PM ET,8.491,MIN
TE,Jack Doyle,5200,IND@JAX 12/03/2017 01:00PM ET,12.64,IND
WR,Marqise Lee,5200,IND@JAX 12/03/2017 01:00PM ET,10.436,JAX
QB,Derek Anderson,5200,CAR@NO 12/03/2017 04:25PM ET,0.24,CAR
WR,Sammy Watkins,5200,LAR@ARI 12/03/2017 04:25PM ET,10,LAR
RB,Jerick McKinnon,5100,MIN@ATL 12/03/2017 01:00PM ET,11.373,MIN
QB,Jimmy Garoppolo,5100,SF@CHI 12/03/2017 01:00PM ET,5.12,SF
QB,Brett Hundley,5100,TB@GB 12/03/2017 01:00PM ET,11.771,GB
WR,Ted Ginn Jr.,5100,CAR@NO 12/03/2017 04:25PM ET,11.736,NO
WR,Corey Davis,5100,HOU@TEN 12/03/2017 01:00PM ET,6.75,TEN
QB,Teddy Bridgewater,5000,MIN@ATL 12/03/2017 01:00PM ET,0,MIN
RB,Rex Burkhead,5000,NE@BUF 12/03/2017 01:00PM ET,11.357,NE
WR,Danny Amendola,5000,NE@BUF 12/03/2017 01:00PM ET,10.45,NE
QB,Carson Palmer,5000,LAR@ARI 12/03/2017 04:25PM ET,16.909,ARI
QB,Eli Manning,5000,NYG@OAK 12/03/2017 04:25PM ET,13.904,NYG
QB,Joe Flacco,4900,DET@BAL 12/03/2017 01:00PM ET,9.764,BAL
WR,Kelvin Benjamin,4900,NE@BUF 12/03/2017 01:00PM ET,10.47,BUF
QB,Brian Hoyer,4900,NE@BUF 12/03/2017 01:00PM ET,9.373,NE
WR,Emmanuel Sanders,4900,DEN@MIA 12/03/2017 01:00PM ET,10.889,DEN
RB,Kenyan Drake,4900,DEN@MIA 12/03/2017 01:00PM ET,5.082,MIA
QB,C.J. Beathard,4800,SF@CHI 12/03/2017 01:00PM ET,13.829,SF
WR,T.Y. Hilton,4800,IND@JAX 12/03/2017 01:00PM ET,12.545,IND
QB,Trevor Siemian,4800,DEN@MIA 12/03/2017 01:00PM ET,15.44,DEN
RB,Duke Johnson Jr.,4800,CLE@LAC 12/03/2017 04:05PM ET,13.282,CLE
RB,Adrian Peterson,4800,LAR@ARI 12/03/2017 04:25PM ET,8.69,ARI
RB,Marshawn Lynch,4800,NYG@OAK 12/03/2017 04:25PM ET,9.55,OAK
WR,Jeremy Maclin,4700,DET@BAL 12/03/2017 01:00PM ET,9.444,BAL
RB,Jamaal Williams,4700,TB@GB 12/03/2017 01:00PM ET,6.236,GB
WR,DeSean Jackson,4700,TB@GB 12/03/2017 01:00PM ET,11.273,TB
QB,Jay Cutler,4700,DEN@MIA 12/03/2017 01:00PM ET,12.453,MIA
WR,Kenny Stills,4700,DEN@MIA 12/03/2017 01:00PM ET,12.682,MIA
QB,Patrick Mahomes II,4700,KC@NYJ 12/03/2017 01:00PM ET,0,KC
RB,Derrick Henry,4700,HOU@TEN 12/03/2017 01:00PM ET,7.773,TEN
QB,Kellen Clemens,4700,CLE@LAC 12/03/2017 04:05PM ET,0.34,LAC
TE,Hunter Henry,4700,CLE@LAC 12/03/2017 04:05PM ET,8.273,LAC
QB,Blaine Gabbert,4700,LAR@ARI 12/03/2017 04:25PM ET,20.46,ARI
QB,EJ Manuel,4700,NYG@OAK 12/03/2017 04:25PM ET,7.55,OAK
WR,Zay Jones,4600,NE@BUF 12/03/2017 01:00PM ET,6.19,BUF
QB,Jacoby Brissett,4600,IND@JAX 12/03/2017 01:00PM ET,14.884,IND
QB,Matt Moore,4600,DEN@MIA 12/03/2017 01:00PM ET,11.585,MIA
QB,Chase Daniel,4600,CAR@NO 12/03/2017 04:25PM ET,-0.2,NO
RB,Orleans Darkwa,4600,NYG@OAK 12/03/2017 04:25PM ET,9.32,NYG
TE,Kyle Rudolph,4500,MIN@ATL 12/03/2017 01:00PM ET,10.809,MIN
QB,Ryan Mallett,4500,DET@BAL 12/03/2017 01:00PM ET,4.97,BAL
RB,Alex Collins,4500,DET@BAL 12/03/2017 01:00PM ET,9.02,BAL
QB,Mitchell Trubisky,4500,SF@CHI 12/03/2017 01:00PM ET,9.238,CHI
RB,Aaron Jones,4500,TB@GB 12/03/2017 01:00PM ET,8.825,GB
QB,Scott Tolzien,4500,IND@JAX 12/03/2017 01:00PM ET,3.32,IND
DST,Jaguars ,4500,IND@JAX 12/03/2017 01:00PM ET,14.545,JAX
WR,DeVante Parker,4500,DEN@MIA 12/03/2017 01:00PM ET,10.238,MIA
QB,Tom Savage,4500,HOU@TEN 12/03/2017 01:00PM ET,7.277,HOU
QB,Matt Cassel,4500,HOU@TEN 12/03/2017 01:00PM ET,2.16,TEN
QB,DeShone Kizer,4500,CLE@LAC 12/03/2017 04:05PM ET,13.112,CLE
QB,Cardale Jones,4500,CLE@LAC 12/03/2017 04:05PM ET,0,LAC
QB,Sean Mannion,4500,LAR@ARI 12/03/2017 04:25PM ET,-0.14,LAR
QB,Drew Stanton,4500,LAR@ARI 12/03/2017 04:25PM ET,10.713,ARI
QB,Geno Smith,4500,NYG@OAK 12/03/2017 04:25PM ET,-0.1,NYG
RB,Danny Woodhead,4400,DET@BAL 12/03/2017 01:00PM ET,7.5,BAL
QB,Nathan Peterman,4400,NE@BUF 12/03/2017 01:00PM ET,2.6,BUF
QB,Mike Glennon,4400,SF@CHI 12/03/2017 01:00PM ET,8.944,CHI
QB,Joe Callahan,4400,TB@GB 12/03/2017 01:00PM ET,0,GB
WR,Jordy Nelson,4400,TB@GB 12/03/2017 01:00PM ET,10.3,GB
QB,Brock Osweiler,4400,DEN@MIA 12/03/2017 01:00PM ET,9.56,DEN
QB,Paxton Lynch,4400,DEN@MIA 12/03/2017 01:00PM ET,2.64,DEN
RB,Charcandrick West,4400,KC@NYJ 12/03/2017 01:00PM ET,5.83,KC
QB,Matt Schaub,4300,MIN@ATL 12/03/2017 01:00PM ET,0,ATL
RB,Jacquizz Rodgers,4300,TB@GB 12/03/2017 01:00PM ET,3.645,TB
QB,Chad Henne,4300,IND@JAX 12/03/2017 01:00PM ET,-0.3,JAX
RB,Chris Ivory,4300,IND@JAX 12/03/2017 01:00PM ET,6.836,JAX
TE,Greg Olsen,4300,CAR@NO 12/03/2017 04:25PM ET,2.6,CAR
WR,Jermaine Kearse,4300,KC@NYJ 12/03/2017 01:00PM ET,11.545,NYJ
QB,T.J. Yates,4300,HOU@TEN 12/03/2017 01:00PM ET,0,HOU
WR,Will Fuller V,4300,HOU@TEN 12/03/2017 01:00PM ET,15.917,HOU
QB,Kevin Hogan,4300,CLE@LAC 12/03/2017 04:05PM ET,9.695,CLE
QB,Cody Kessler,4300,CLE@LAC 12/03/2017 04:05PM ET,1.313,CLE
WR,Corey Coleman,4300,CLE@LAC 12/03/2017 04:05PM ET,10.4,CLE
QB,Jake Rudock,4200,DET@BAL 12/03/2017 01:00PM ET,0,DET
RB,Matt Breida,4200,SF@CHI 12/03/2017 01:00PM ET,6.064,SF
WR,Allen Hurns,4200,IND@JAX 12/03/2017 01:00PM ET,10.622,JAX
RB,Bilal Powell,4200,KC@NYJ 12/03/2017 01:00PM ET,9.52,NYJ
RB,Austin Ekeler,4200,CLE@LAC 12/03/2017 04:05PM ET,8.736,LAC
TE,Charles Clay,4100,NE@BUF 12/03/2017 01:00PM ET,9.975,BUF
RB,T.J. Yeldon,4100,IND@JAX 12/03/2017 01:00PM ET,11.02,JAX
WR,Dede Westbrook,4100,IND@JAX 12/03/2017 01:00PM ET,8.3,JAX
RB,Devontae Booker,4100,DEN@MIA 12/03/2017 01:00PM ET,7.825,DEN
RB,Isaiah Crowell,4100,CLE@LAC 12/03/2017 04:05PM ET,9.555,CLE
WR,Josh Gordon,4100,CLE@LAC 12/03/2017 04:05PM ET,0,CLE
QB,Kyle Sloter,4000,MIN@ATL 12/03/2017 01:00PM ET,0,MIN
WR,Mike Wallace,4000,DET@BAL 12/03/2017 01:00PM ET,8.75,BAL
QB,Joe Webb,4000,NE@BUF 12/03/2017 01:00PM ET,0,BUF
QB,Mark Sanchez,4000,SF@CHI 12/03/2017 01:00PM ET,0,CHI
