Rk,Name,Tm,Age,Pos,G,GS,*Tgt,*Rec,Ctch%,*Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Antonio Brown,PIT,29,WR,11,11,126,80,63.50%,1195,14.9,8,51,7.3,108.6,3
2,Jarvis Landry,MIA,25,WR,11,11,117,75,64.10%,637,8.5,6,49,6.8,57.9,3
3,Larry Fitzgerald,ARI,34,WR,11,11,106,72,67.90%,780,10.8,4,37,6.5,70.9,1
4,Adam Thielen,MIN,27,WR,11,11,107,70,65.40%,1005,14.4,3,65,6.4,91.4,3
5,Michael Thomas,NOR,24,WR,11,9,102,70,68.60%,805,11.5,2,33,6.4,73.2,0
6,DeAndre Hopkins,HOU,25,WR,11,11,125,69,55.20%,1004,14.6,9,72,6.3,91.3,0
7,Keenan Allen,LAC,25,WR,11,11,107,67,62.60%,927,13.8,4,50,6.1,84.3,0
8,Julio Jones,ATL,28,WR,11,11,101,66,65.30%,1039,15.7,3,53,6,94.5,0
9,Golden Tate,DET,29,WR,11,10,83,63,75.90%,698,11.1,3,45,5.7,63.5,1
10,Travis Kelce,KAN,28,TE,11,11,86,62,72.10%,777,12.5,5,44,5.6,70.6,0
11,Le'Veon Bell,PIT,25,RB,11,11,76,61,80.30%,396,6.5,0,42,5.5,36,3
12,Jack Doyle,IND,27,TE,10,10,77,59,76.60%,544,9.2,2,26,5.9,54.4,2
13,Christian McCaffrey,CAR,21,RB,11,6,84,59,70.20%,468,7.9,3,37,5.4,42.5,2
14,Doug Baldwin,SEA,29,WR,11,11,88,58,65.90%,698,12,4,54,5.3,63.5,0
15,Demaryius Thomas,DEN,30,WR,11,11,96,58,60.40%,651,11.2,3,40,5.3,59.2,1
16,Davante Adams,GNB,25,WR,11,11,91,55,60.40%,702,12.8,7,55,5,63.8,0
17,Zach Ertz,PHI,27,TE,10,9,81,55,67.90%,639,11.6,7,53,5.5,63.9,1
18,Alvin Kamara,NOR,22,fb/rb,11,2,68,55,80.90%,548,10,4,38,5,49.8,1
19,Tyreek Hill,KAN,23,WR,11,9,77,54,70.10%,726,13.4,4,75,4.9,66,2
20,Dez Bryant,DAL,29,WR,11,11,102,53,52.00%,578,10.9,4,36,4.8,52.5,0
21,A.J. Green,CIN,29,WR,11,11,91,53,58.20%,809,15.3,6,77,4.8,73.5,1
22,Delanie Walker,TEN,33,TE,11,8,77,53,68.80%,613,11.6,1,42,4.8,55.7,1
23,Brandin Cooks,NWE,24,WR,11,10,81,51,63.00%,869,17,5,64,4.6,79,0
